gene	repli-seq
A2M	68.9732
AAAS	79.7438
AACS	78.9255
AAED1	49.3489
AAGAB	74.9588
AAK1	79.5525
AAMDC	72.6056
AAMP	75.6303
AAR2	70.4364
AARS	77.5056
AARS2	75.8087
AARSD1	79.2426
AASDH	49.4389
AASDHPPT	37.5726
AASS	28.6807
AATF	68.6107
ABAT	66.5188
ABCA12	59.3759
ABCA2	80.9154
ABCA3	80.77
ABCA5	62.9324
ABCA7	78.4922
ABCB10	72.8007
ABCB4	62.9197
ABCB6	76.1834
ABCB7	27.8218
ABCB8	73.6186
ABCB9	80.6871
ABCC1	76.4368
ABCC10	79.5898
ABCC2	74.3254
ABCC3	75.2395
ABCC4	66.835
ABCC5	67.478
ABCC8	57.5107
ABCD1	49.1675
ABCD2	59.0636
ABCD3	42.6801
ABCD4	69.0415
ABCE1	62.5666
ABCF1	78.2797
ABCF2	73.439
ABCF3	68.8471
ABCG1	73.1132
ABHD10	65.3503
ABHD11	73.5947
ABHD12	72.7589
ABHD13	27.4082
ABHD14A	79.6562
ABHD14B	79.6562
ABHD15	80.1142
ABHD16A	78.8807
ABHD17A	79.9939
ABHD17B	45.8898
ABHD17C	60.3771
ABHD2	69.9941
ABHD3	71.2097
ABHD4	79.6507
ABHD5	50.9512
ABHD6	76.7454
ABHD8	80.9874
ABI1	71.9249
ABI2	72.1327
ABI3	75.3014
ABL1	67.1528
ABL2	63.2089
ABLIM1	57.4125
ABLIM2	65.3795
ABR	77.0362
ABRACL	63.5675
ABT1	70.138
ABTB1	77.6981
ABTB2	70.9266
ACAA1	71.9872
ACAA2	58.9506
ACACA	74.1609
ACAD10	77.2252
ACAD11	57.0075
ACAD8	46.2884
ACAD9	74.42
ACADM	40.1828
ACADS	78.1725
ACADSB	63.3869
ACADVL	76.6111
ACAP1	81.2435
ACAP2	74.5535
ACAP3	79.5762
ACAT1	67.7955
ACAT2	66.3404
ACBD3	80.3485
ACBD4	78.5323
ACBD5	65.9484
ACBD6	66.4067
ACBD7	66.903
ACCS	57.3734
ACD	78.1131
ACER2	72.4044
ACER3	65.5715
ACHE	70.4149
ACIN1	78.0276
ACKR3	56.3537
ACLY	79.1892
ACO1	50.1339
ACO2	79.1839
ACOT1	76.529
ACOT13	74.857
ACOT2	76.9841
ACOT4	77.5905
ACOT7	77.3819
ACOT8	76.7164
ACOT9	49.6963
ACOX1	79.2748
ACOX3	60.7416
ACOXL	74.1422
ACP1	27.4716
ACP2	81.0174
ACP5	77.8764
ACP6	44.8683
ACPP	56.7898
ACRBP	79.0118
ACSBG1	77.1166
ACSF2	76.8568
ACSF3	79.3459
ACSL1	76.7473
ACSL3	65.2445
ACSL4	44.2173
ACSL5	53.7469
ACSM3	62.9396
ACSS1	65.3625
ACSS2	76.4205
ACTA2	74.0542
ACTB	78.4958
ACTG1	78.6306
ACTL6A	70.5119
ACTL6B	79.5687
ACTL8	43.9804
ACTN1	76.3212
ACTN4	78.4149
ACTR10	57.0128
ACTR1A	80.6393
ACTR1B	66.5229
ACTR2	78.757
ACTR3	70.7285
ACTR3B	62.4849
ACTR3C	73.7346
ACTR5	75.205
ACTR8	59.7156
ACTRT3	73.4797
ACVR1B	68.2172
ACVR2A	49.9369
ACVR2B	62.6007
ACY1	79.7829
ACY3	77.943
ACYP1	80.3192
ACYP2	60.1077
ADA	78.4641
ADAL	75.8326
ADAM10	75.6761
ADAM15	80.3875
ADAM17	75.8021
ADAM19	76.5569
ADAM22	55.0965
ADAM23	56.9496
ADAM28	30.6436
ADAM8	65.2339
ADAM9	75.474
ADAMDEC1	29.0387
ADAMTS10	72.8422
ADAMTS12	61.4919
ADAMTS13	67.8119
ADAMTS4	77.5014
ADAMTS6	64.7019
ADAMTSL5	78.9792
ADAP1	77.9438
ADAP2	77.4592
ADAR	77.2978
ADARB1	74.0882
ADARB2	42.0962
ADAT1	71.6423
ADAT2	63.3292
ADAT3	79.9452
ADCK1	71.1545
ADCK2	60.9131
ADCK3	69.1013
ADCK4	76.3862
ADCK5	85.1225
ADCY3	77.6899
ADCY4	78.2599
ADCY5	58.5902
ADCY6	75.6848
ADCY7	80.0234
ADD1	78.6886
ADD3	76.8048
ADH5	46.5497
ADH6	39.8259
ADHFE1	73.353
ADI1	70.3441
ADIPOR1	74.5738
ADIPOR2	75.4863
ADK	79.5328
ADM	63.3215
ADM2	81.0864
ADNP	68.0591
ADNP2	57.5254
ADO	75.294
ADORA1	77.6111
ADORA2A	78.4136
ADORA2B	68.7422
ADPGK	62.5664
ADPRH	77.6973
ADPRHL2	80.4165
ADPRM	47.6118
ADRB1	74.1027
ADRB2	59.9516
ADRM1	77.1892
ADSL	77.804
ADSS	68.5846
ADSSL1	78.1875
AEBP1	77.6821
AEBP2	45.5563
AEN	61.3918
AES	79.6889
AFAP1L2	62.1471
AFF1	60.1868
AFF2	22.3178
AFF3	36.6052
AFF4	75.3017
AFG3L2	65.5758
AFMID	78.1624
AFP	49.952
AFTPH	78.2682
AGA	30.2694
AGAP2	77.3902
AGAP3	73.6188
AGBL2	78.5289
AGBL3	68.1016
AGBL5	77.2043
AGFG1	73.6384
AGFG2	79.2905
AGGF1	61.5036
AGK	52.5268
AGL	73.8641
AGMAT	75.5937
AGMO	8.81804
AGO1	76.4288
AGO2	73.6444
AGO3	77.1137
AGO4	76.8717
AGPAT1	75.1445
AGPAT2	81.3055
AGPAT3	78.1808
AGPAT4	48.0233
AGPAT5	76.1861
AGPS	75.2498
AGRN	81.7942
AGT	45.556
AGTPBP1	58.5432
AGTR2	27.0385
AGTRAP	78.1601
AHCY	78.9028
AHCYL1	71.3065
AHCYL2	78.535
AHDC1	78.0401
AHI1	70.8939
AHNAK	77.8395
AHR	54.1203
AHSA1	76.5085
AHSA2	77.7638
AICDA	75.2552
AIDA	57.26
AIF1	76.0606
AIFM1	52.3543
AIFM2	77.3048
AIG1	68.2569
AIM1	67.0829
AIM2	55.2658
AIMP1	35.0357
AIMP2	72.3632
AIP	78.9911
AIRE	78.5601
AJUBA	77.8489
AK1	77.5747
AK2	78.7517
AK3	77.6755
AK4	58.5402
AK5	54.7406
AK7	68.2413
AK8	66.3038
AK9	47.9853
AKAP1	74.6624
AKAP10	71.7312
AKAP11	78.0487
AKAP13	79.3949
AKAP2	79.0785
AKAP3	65.4571
AKAP5	74.6551
AKAP7	58.17
AKAP8	71.6838
AKAP8L	72.6651
AKAP9	61.7968
AKIP1	72.4872
AKIRIN1	77.2002
AKIRIN2	79.5657
AKNA	64.2518
AKNAD1	70.8983
AKR1A1	79.4764
AKR1B1	52.662
AKR1C1	35.1282
AKR1C2	36.874
AKR7A2	70.8142
AKT1	78.4618
AKT1S1	79.2038
AKT2	79.9191
AKT3	52.7458
AKTIP	69.1635
ALAD	75.1602
ALAS1	81.2318
ALB	48.8722
ALCAM	45.0553
ALDH16A1	79.4831
ALDH18A1	77.0128
ALDH1A1	38.1168
ALDH1B1	53.6222
ALDH1L1	48.5425
ALDH2	77.7809
ALDH3A1	65.1378
ALDH3A2	63.9061
ALDH4A1	64.9051
ALDH5A1	66.7679
ALDH6A1	77.8664
ALDH7A1	77.2875
ALDH9A1	64.0492
ALDOA	80.6588
ALDOB	30.2572
ALDOC	80.5216
ALG1	66.0855
ALG10	22.043
ALG10B	29.6468
ALG11	60.399
ALG12	77.6388
ALG13	26.7156
ALG14	38.0318
ALG2	74.4005
ALG3	71.5927
ALG5	36.8072
ALG6	51.6279
ALG8	74.8375
ALG9	73.5165
ALKBH1	72.7659
ALKBH2	71.3159
ALKBH3	59.0453
ALKBH4	78.5878
ALKBH5	79.3136
ALKBH6	77.4374
ALKBH7	79.8892
ALKBH8	56.0598
ALMS1	69.3637
ALOX5	67.9701
ALOX5AP	75.3087
ALPI	62.6652
ALPK1	69.8786
ALPL	69.1854
ALS2	63.589
ALX1	18.2856
ALX3	71.9899
ALX4	59.6841
ALYREF	82.1348
AMACR	60.2995
AMBP	50.8883
AMBRA1	77.3238
AMD1	72.4217
AMDHD1	66.1718
AMDHD2	76.3705
AMER1	21.6121
AMER2	62.6838
AMFR	67.7801
AMIGO1	76.1101
AMIGO3	79.3363
AMMECR1	42.2078
AMN	77.9578
AMN1	76.6807
AMOT	42.3384
AMOTL1	46.8366
AMPD2	77.7699
AMPD3	65.0355
AMZ2	77.089
ANAPC1	64.5328
ANAPC10	62.6213
ANAPC11	82.1348
ANAPC13	55.8874
ANAPC15	74.37
ANAPC16	78.3052
ANAPC2	79.7606
ANAPC4	58.0467
ANAPC5	78.4051
ANAPC7	79.9566
ANG	76.8032
ANGEL1	76.9627
ANGEL2	80.9951
ANGPTL2	76.1404
ANGPTL4	79.1267
ANGPTL6	78.0119
ANK1	69.931
ANK2	70.6205
ANK3	35.2707
ANKDD1A	77.6096
ANKEF1	43.8928
ANKFY1	80.3538
ANKH	57.5355
ANKHD1	77.8073
ANKHD1-EIF4EBP3	77.8073
ANKIB1	69.2251
ANKLE1	81.0854
ANKLE2	66.2035
ANKMY2	33.6396
ANKRA2	59.2619
ANKRD10	65.2843
ANKRD11	78.7097
ANKRD12	77.5412
ANKRD13A	78.2717
ANKRD13B	79.0296
ANKRD13C	60.8519
ANKRD13D	78.2992
ANKRD16	79.0056
ANKRD17	44.6975
ANKRD22	75.0495
ANKRD26	68.487
ANKRD27	61.3892
ANKRD28	72.4518
ANKRD29	75.9878
ANKRD31	59.2692
ANKRD34A	77.2833
ANKRD36	59.0582
ANKRD36C	71.7597
ANKRD37	70.9639
ANKRD39	73.7792
ANKRD40	74.4464
ANKRD42	77.6294
ANKRD44	77.1607
ANKRD46	78.8006
ANKRD49	47.2601
ANKRD52	79.1663
ANKRD54	78.8466
ANKRD6	77.4266
ANKRD65	79.0943
ANKRD9	78.5236
ANKS1A	77.4247
ANKS1B	47.4464
ANKS3	77.1533
ANKS4B	73.5363
ANKS6	59.8719
ANKZF1	75.9647
ANLN	57.5955
ANO10	49.8275
ANO4	37.4223
ANO5	28.507
ANO6	51.1984
ANO8	80.6674
ANO9	78.5705
ANP32A	50.7774
ANP32B	77.2165
ANP32E	76.8708
ANTXR2	52.4505
ANXA1	41.1449
ANXA11	69.057
ANXA2	70.9577
ANXA2R	70.8243
ANXA3	75.7246
ANXA4	79.5525
ANXA5	63.208
ANXA6	76.6896
ANXA7	77.1723
ANXA9	81.4654
AOAH	57.6098
AOC1	73.0098
AP1AR	70.4362
AP1B1	78.8352
AP1G1	76.9225
AP1G2	69.5897
AP1M1	77.9128
AP1S1	69.0892
AP1S2	58.7238
AP1S3	64.5379
AP2A1	81.1666
AP2A2	76.828
AP2B1	74.4502
AP2M1	68.3459
AP2S1	77.794
AP3B1	75.621
AP3D1	79.7895
AP3M1	79.5328
AP3M2	78.3253
AP3S1	57.7764
AP3S2	76.0346
AP4B1	73.9901
AP4E1	73.8243
AP4M1	80.4033
AP4S1	74.0194
AP5M1	36.7636
AP5S1	78.725
AP5Z1	55.6838
APAF1	69.5246
APBA2	40.5191
APBA3	74.274
APBB1	73.907
