clusters	gene_num	A_num	B_num
0	13	12	1
1	17	17	0
2	4	3	1
3	14	10	4
4	23	19	4
5	10	1	9
6	10	9	1
7	5	2	3
8	10	9	1
9	21	19	2
10	5	4	1
11	16	11	5
12	2	2	0
13	16	12	4
14	19	19	0
15	17	16	1
16	23	16	7
17	17	10	7
18	92	86	6
19	2	2	0
20	82	80	2
21	9	9	0
22	11	11	0
23	19	18	1
24	5	3	2
25	16	13	3
26	27	27	0
27	5	4	1
28	32	28	4
29	2	2	0
30	26	22	4
31	4	3	1
32	16	15	1
33	16	11	5
34	25	24	1
35	24	21	3
36	2	2	0
37	3	3	0
38	17	17	0
39	2	2	0
40	14	14	0
41	22	21	1
42	22	17	5
43	12	10	2
44	17	15	2
45	11	11	0
46	25	18	7
47	32	28	4
48	12	12	0
49	3	3	0
50	20	16	4
51	18	16	2
52	16	14	2
53	13	13	0
54	22	12	10
55	11	10	1
56	13	12	1
57	31	25	6
58	12	11	1
59	11	8	3
60	19	18	1
61	2	1	1
62	2	1	1
63	13	12	1
64	14	14	0
65	12	12	0
66	38	31	7
67	105	91	14
68	24	21	3
69	2	2	0
70	71	66	5
71	4	3	1
72	46	41	5
73	71	71	0
74	15	15	0
75	25	21	4
76	29	24	5
77	10	10	0
78	10	10	0
79	20	14	6
80	14	14	0
81	21	19	2
82	19	13	6
83	67	59	8
84	54	49	5
85	17	15	2
86	20	15	5
87	12	11	1
88	20	16	4
89	18	17	1
90	11	10	1
91	16	15	1
92	11	10	1
93	17	16	1
94	13	11	2
95	17	14	3
96	63	51	12
97	35	32	3
98	11	11	0
99	6	6	0
100	11	11	0
101	18	14	4
102	18	14	4
103	111	101	10
104	48	41	7
105	17	10	7
106	5	5	0
107	22	21	1
108	15	11	4
109	42	41	1
110	13	12	1
111	8	7	1
112	6	6	0
113	41	41	0
114	26	22	4
115	24	13	11
116	22	18	4
117	2	2	0
118	7	6	1
119	8	8	0
120	8	7	1
121	98	96	2
122	11	9	2
123	28	28	0
124	21	21	0
125	24	24	0
126	2	2	0
127	6	3	3
128	16	11	5
129	8	4	4
130	15	14	1
131	6	6	0
132	2	2	0
133	2	2	0
134	2	2	0
135	3	2	1
136	4	4	0
137	2	2	0
138	36	36	0
139	21	21	0
140	35	25	10
141	3	3	0
142	14	14	0
143	5	5	0
144	171	164	7
145	219	205	14
146	26	25	1
147	53	41	12
148	7	4	3
149	24	22	2
150	13	13	0
151	21	21	0
152	18	18	0
153	11	10	1
154	3	3	0
155	3	3	0
156	33	29	4
157	2	2	0
158	4	4	0
159	20	12	8
160	29	27	2
161	75	66	9
162	5	4	1
163	11	10	1
164	10	8	2
165	8	8	0
166	19	12	7
167	10	9	1
168	25	23	2
169	28	28	0
170	28	21	7
171	2	1	1
172	10	10	0
173	24	23	1
174	22	15	7
175	17	13	4
176	4	4	0
177	16	13	3
178	20	19	1
179	20	12	8
180	12	11	1
181	8	8	0
182	18	17	1
183	41	39	2
184	22	20	2
185	25	21	4
186	9	9	0
187	22	20	2
188	7	4	3
189	26	23	3
190	13	10	3
191	4	3	1
192	11	11	0
193	15	14	1
194	12	11	1
195	7	7	0
196	29	25	4
197	10	8	2
198	9	9	0
199	26	24	2
200	27	26	1
201	38	36	2
202	16	16	0
203	20	15	5
204	23	23	0
205	12	12	0
206	19	18	1
207	9	9	0
208	2	2	0
209	22	14	8
210	13	10	3
211	2	2	0
212	66	63	3
213	6	6	0
214	63	61	2
215	5	5	0
216	6	6	0
217	7	7	0
218	9	9	0
219	16	16	0
220	6	6	0
221	8	7	1
222	6	5	1
223	4	4	0
224	12	12	0
225	23	21	2
226	22	20	2
227	23	21	2
228	13	13	0
229	29	29	0
230	31	31	0
231	18	18	0
232	3	3	0
233	18	18	0
234	16	16	0
235	5	5	0
236	5	5	0
237	19	18	1
238	5	4	1
239	4	2	2
240	18	16	2
241	2	1	1
242	8	4	4
243	5	5	0
244	5	5	0
245	17	17	0
246	19	19	0
247	25	21	4
248	15	15	0
249	16	12	4
250	19	18	1
251	31	25	6
252	21	15	6
253	14	13	1
254	14	14	0
255	21	18	3
256	22	21	1
257	15	15	0
258	17	16	1
259	19	17	2
260	78	76	2
261	56	55	1
262	9	9	0
263	13	13	0
264	10	10	0
265	30	29	1
266	39	38	1
267	13	12	1
268	92	62	30
269	27	23	4
270	2	1	1
271	11	10	1
272	4	4	0
