clusters	num	num2	A1	A2	B1	B2	B3	B4
0	13	13	2	9	0	1	1	0
1	17	17	2	11	0	0	4	0
2	4	4	0	1	1	1	1	0
3	14	14	3	9	1	0	1	0
4	23	0	0	0	0	0	0	0
5	10	9	9	0	0	0	0	0
6	10	10	0	8	1	1	0	0
7	5	5	2	1	0	0	2	0
8	10	10	2	0	7	1	0	0
9	21	21	14	5	0	0	2	0
10	5	0	0	0	0	0	0	0
11	16	16	2	7	0	0	7	0
12	2	2	0	2	0	0	0	0
13	16	16	0	10	1	1	4	0
14	19	19	6	1	10	2	0	0
15	17	0	0	0	0	0	0	0
16	23	23	5	10	0	2	6	0
17	17	17	1	11	0	0	5	0
18	92	92	32	46	4	1	9	0
19	2	2	2	0	0	0	0	0
20	82	82	48	27	7	0	0	0
21	9	9	4	5	0	0	0	0
22	11	11	11	0	0	0	0	0
23	19	19	11	1	5	2	0	0
24	5	5	0	2	0	0	3	0
25	16	16	9	5	0	2	0	0
26	27	27	12	12	3	0	0	0
27	5	5	1	2	0	2	0	0
28	32	32	20	2	8	2	0	0
29	2	2	1	0	1	0	0	0
30	26	26	4	16	2	2	2	0
31	4	4	0	1	1	1	1	0
32	16	16	9	5	2	0	0	0
33	16	16	2	9	0	1	4	0
34	25	25	17	7	0	0	1	0
35	24	24	7	7	6	1	3	0
36	2	2	1	1	0	0	0	0
37	3	3	3	0	0	0	0	0
38	17	17	10	7	0	0	0	0
39	2	2	0	2	0	0	0	0
40	14	14	10	2	0	2	0	0
41	22	22	17	4	1	0	0	0
42	22	22	1	14	1	0	6	0
43	12	12	2	8	0	0	2	0
44	17	17	1	11	3	0	2	0
45	11	11	2	8	0	0	1	0
46	25	25	0	19	0	0	6	0
47	32	32	14	11	4	2	1	0
48	12	12	9	2	1	0	0	0
49	3	3	0	3	0	0	0	0
50	20	20	0	13	1	2	4	0
51	18	18	2	13	1	0	2	0
52	16	16	7	5	3	0	1	0
53	13	13	7	3	2	1	0	0
54	22	22	1	7	1	7	6	0
55	11	11	1	7	0	2	1	0
56	13	13	9	1	2	1	0	0
57	31	31	5	19	4	3	0	0
58	12	12	1	9	0	0	2	0
59	11	11	0	7	1	3	0	0
60	19	19	8	8	2	0	1	0
61	2	2	0	1	0	1	0	0
62	2	2	1	0	0	0	1	0
63	13	13	12	0	1	0	0	0
64	14	14	12	2	0	0	0	0
65	12	12	7	5	0	0	0	0
66	38	38	15	15	6	0	2	0
67	105	105	79	12	10	4	0	0
68	24	24	14	6	4	0	0	0
69	2	2	2	0	0	0	0	0
70	71	71	62	2	6	1	0	0
71	4	4	0	3	0	0	1	0
72	46	46	28	15	2	0	1	0
73	71	71	35	34	2	0	0	0
74	15	15	1	13	1	0	0	0
75	25	25	3	14	2	1	5	0
76	29	29	13	9	4	2	1	0
77	10	10	1	9	0	0	0	0
78	10	10	3	6	1	0	0	0
79	20	20	1	12	0	0	7	0
80	14	14	13	1	0	0	0	0
81	21	21	0	19	0	0	2	0
82	19	19	2	10	0	1	6	0
83	67	67	30	31	3	1	2	0
84	54	54	43	7	1	0	3	0
85	17	17	1	11	0	2	3	0
86	20	20	1	13	0	1	5	0
87	12	12	10	0	2	0	0	0
88	20	20	10	4	4	2	0	0
89	18	18	1	13	1	0	3	0
90	11	11	8	2	1	0	0	0
91	16	16	6	3	7	0	0	0
92	11	11	0	9	1	0	1	0
93	17	17	4	11	0	0	2	0
94	13	13	0	11	0	1	1	0
95	17	17	0	12	0	0	5	0
96	63	63	36	21	2	0	4	0
97	35	0	0	0	0	0	0	0
98	11	11	1	10	0	0	0	0
99	6	6	1	5	0	0	0	0
100	11	11	2	9	0	0	0	0
101	18	18	7	9	1	0	1	0
102	18	18	5	10	2	0	1	0
103	111	111	86	0	14	4	0	7
104	48	48	16	26	1	0	5	0
105	17	17	0	12	0	0	5	0
106	5	5	2	2	1	0	0	0
107	22	22	15	6	0	0	1	0
108	15	15	6	6	0	0	3	0
109	42	42	40	1	1	0	0	0
110	13	13	4	7	1	0	1	0
111	8	8	1	3	0	0	4	0
112	6	6	0	5	1	0	0	0
113	41	41	36	3	2	0	0	0
114	26	26	19	0	3	1	0	3
115	24	24	10	0	4	0	0	10
116	22	22	3	15	4	0	0	0
117	2	2	0	2	0	0	0	0
118	7	7	2	5	0	0	0	0
119	8	8	8	0	0	0	0	0
120	8	8	1	6	0	1	0	0
121	98	98	96	0	1	1	0	0
122	11	11	9	0	2	0	0	0
123	28	28	5	21	0	1	1	0
124	21	21	1	19	1	0	0	0
125	24	24	11	10	2	0	1	0
126	2	2	2	0	0	0	0	0
127	6	6	1	3	0	0	2	0
128	16	0	0	0	0	0	0	0
129	8	8	0	5	0	0	3	0
130	15	0	0	0	0	0	0	0
131	6	6	6	0	0	0	0	0
132	2	2	0	1	0	0	1	0
133	2	2	2	0	0	0	0	0
134	2	2	2	0	0	0	0	0
135	3	3	0	2	0	0	1	0
136	4	4	3	1	0	0	0	0
137	2	2	2	0	0	0	0	0
138	36	36	29	7	0	0	0	0
139	21	21	21	0	0	0	0	0
140	35	35	22	6	6	1	0	0
141	3	3	0	3	0	0	0	0
142	14	14	14	0	0	0	0	0
143	5	5	4	0	1	0	0	0
144	171	171	152	13	6	0	0	0
145	219	219	172	33	9	1	4	0
146	26	26	12	10	4	0	0	0
147	53	53	38	1	13	1	0	0
148	7	7	0	2	1	2	2	0
149	24	23	22	0	0	0	1	0
150	13	13	0	11	1	0	1	0
151	21	21	2	19	0	0	0	0
152	18	18	18	0	0	0	0	0
153	11	11	5	4	2	0	0	0
