TF_name	Overlapping	TF_overlap_cluster
CBX5	7	0;1;4;42;91;323;324
ZBTB49	2	121;293
ETV3	2	121;226
FOXC1	15	0;4;35;46;50;65;66;90;94;95;164;165;176;177;178
NR2F2	4	4;90;323;324
TLX2	13	0;1;4;5;42;91;227;234;237;239;252;253;341
ERF	9	1;3;11;138;247;248;249;250;332
LHX6	16	0;1;4;5;6;42;43;57;60;89;90;91;92;93;125;284
POU3F2	13	0;1;5;6;44;85;90;91;94;95;104;166;263
RUNX1	14	1;3;11;14;73;123;124;192;203;204;258;259;297;313
TFAP2A	9	15;121;122;205;228;229;230;260;261
SP1	19	15;121;122;142;143;144;145;146;147;148;149;201;205;267;268;310;311;325;326
BHLHE41	4	15;335;353;354
BCL6B	14	0;1;4;8;18;56;57;87;95;118;119;120;333;334
JDP2	5	15;33;328;349;350
POU5F1B	4	13;14;53;67
FOXJ1	15	0;3;4;9;18;41;42;57;72;87;88;93;118;119;120
RARB	5	32;327;328;349;350
TFAP2C	6	121;122;205;228;229;230
ESR1	6	19;121;122;205;206;207
PAX5	4	121;122;267;268
GSX2	15	1;5;6;18;40;42;43;57;89;90;91;193;210;315;316
ELK1	5	121;267;268;325;326
ATF1	6	15;33;327;328;349;350
EBF1	8	121;122;205;228;229;230;293;294
HOXC8	11	5;8;18;40;57;91;94;95;314;315;316
PAX6	6	0;1;3;84;223;224
STAT6	4	0;2;109;254
RFX3	3	121;122;205
TCF7L1	4	3;83;218;219
SMAD3	4	32;328;349;350
ZBTB16	7	4;42;44;85;90;102;187
ATF4	7	4;43;59;80;85;91;166
MAX	4	15;121;122;205
NR2C2	4	121;266;338;339
NKX2-2	9	1;4;43;90;91;202;237;239;252
IRF7	7	1;13;16;55;211;212;214
NR5A1	8	2;11;218;219;221;222;223;224
ZSCAN4	6	305;306;335;336;353;354
MEIS1	19	1;3;11;20;21;22;23;36;37;38;39;123;124;203;204;259;313;342;343
RAX	15	0;1;5;6;7;42;43;57;89;90;93;215;216;300;302
HOXB8	10	0;4;5;18;40;51;57;88;95;200
MYOD1	7	15;121;122;205;228;229;230
RARA	5	15;19;121;122;205
ARHGEF12	1	323
TBX15	22	0;3;14;20;21;23;24;25;26;27;28;29;30;31;123;124;258;259;312;313;342;343
MLX	3	1;185;186
MTF1	5	15;32;327;328;349
SOX10	6	0;1;3;11;247;248
VDR	7	15;121;122;205;275;276;339
FOXB1	15	0;3;11;20;21;22;23;123;124;203;245;312;313;342;343
POU2F3	4	13;14;53;67
TCF4	2	103;152
REST	8	15;121;122;205;228;229;230;294
ZNF35	18	0;1;3;4;5;35;42;43;50;81;82;90;91;101;102;165;177;178
HES7	5	152;159;277;278;279
FLI1	16	15;121;122;142;143;144;145;146;147;148;149;201;267;268;325;326
TFAP2E	2	121;230
TGIF2	4	33;327;328;350
RREB1	7	121;122;205;228;229;230;260
HOXB13	8	0;1;4;5;6;42;196;323
EGR1	6	15;32;33;328;349;350
HOXA6	11	4;8;18;40;42;43;91;193;315;316;318
POU2F2	4	13;14;53;67
PRDM4	2	15;356
MAF	5	32;199;283;319;320
NR6A1	3	121;351;352
BACH1	5	0;12;186;286;287
GRHL1	10	4;9;43;57;88;89;91;92;307;309
HOXA9	15	0;1;3;4;5;35;82;90;91;94;95;166;179;180;264
HOXC9	10	4;5;18;40;87;90;94;95;108;200
IRF2	9	1;4;42;59;66;86;169;174;175
RELA	6	121;228;229;230;293;294
SOX4	4	16;55;213;214
VAX2	16	0;1;5;6;8;9;42;43;57;88;89;90;91;92;108;156
PROX1	1	199
NOTO	12	0;7;43;88;89;91;92;93;153;154;155;156
IRX5	10	1;8;18;88;90;108;209;307;308;309
ELF3	9	1;3;11;138;247;249;250;331;332
CEBPD	4	14;53;162;163
SRF	5	1;3;113;185;186
FOXP1	10	1;3;11;13;17;54;55;67;140;141
EGR3	3	32;328;349
HIC1	9	15;121;122;201;205;267;268;325;326
ZIC2	4	121;205;207;208
LMX1A	21	0;1;5;6;8;10;18;52;56;57;87;89;91;93;94;95;200;209;210;288;289
SOX8	9	0;1;3;11;113;185;186;286;287
PRRX1	29	0;1;4;5;6;7;8;10;18;42;43;51;52;57;87;88;89;90;91;92;93;153;154;155;156;157;158;209;210
ZNF628	1	254
ETS2	10	0;3;11;13;14;53;67;68;70;71
NFE2	6	11;12;96;113;185;186
FOXO6	2	199;283
POU3F4	14	0;1;4;5;6;90;91;94;95;237;238;239;252;340
RXRG	4	121;122;338;339
RARG	5	121;122;205;206;207
MEIS3	7	121;205;230;293;294;351;352
NKX2-1	4	3;113;185;186
RUNX3	2	15;199
GMEB2	5	65;74;164;272;273
NFE2L2	7	0;1;11;12;247;248;332
ZNF652	3	32;349;350
FOXF1	9	0;18;42;43;64;90;112;344;345
TBR1	6	3;64;90;112;125;344
EWSR1	8	15;121;122;201;267;268;325;326
ZNF219	13	15;121;122;142;143;144;201;205;267;268;310;325;326
NFE2L1	17	0;11;12;20;21;23;36;38;39;123;124;181;182;203;204;342;343
SOX21	16	1;3;4;42;43;58;59;74;75;76;77;78;79;166;179;180
TGIF1	11	0;4;6;45;85;90;91;95;102;169;194
SPZ1	4	15;32;199;283
ZFX	6	15;121;122;205;206;207
HSF2	1	251
IRF8	15	1;4;35;42;43;85;86;166;167;168;169;174;175;179;180
DMRT2	4	0;42;196;323
KLF4	16	15;121;122;145;146;147;148;149;201;205;267;268;310;311;325;326
ZIC4	1	251
LMO2	5	15;32;103;152;159
SHOX2	25	0;1;4;5;6;7;18;42;43;52;57;87;88;89;90;91;92;93;151;153;154;155;156;157;158
CREB1	9	15;33;305;306;335;336;337;353;354
NFIC	4	121;205;206;207
NR3C1	3	15;251;355
SP3	10	15;121;122;201;205;267;268;310;325;326
TFE3	6	15;32;335;336;353;354
SOX9	7	0;1;3;11;83;221;224
ERG	2	292;321
BHLHA15	3	4;323;324
MYEF2	14	0;1;3;13;17;53;54;55;160;161;162;163;212;214
MGA	20	0;3;14;20;21;23;24;25;26;27;28;29;30;31;124;258;312;313;342;343
MZF1	4	15;32;321;322
RORA	9	0;1;3;11;218;219;221;222;224
HINFP	6	15;32;33;103;152;159
HOXD11	8	6;91;94;240;241;242;243;244
EP300	2	199;283
STAT1	3	121;265;339
XBP1	7	15;33;114;115;269;270;271
ZNF281	7	15;121;122;205;206;207;208
MYCN	3	121;122;205
EHF	6	121;122;205;206;207;208
TFEC	1	109
ZNF75A	6	0;1;3;11;109;255
CEBPA	3	199;283;319
IRX2	10	1;8;18;88;90;108;209;307;308;309
GTF2I	7	15;19;121;275;276;338;339
TFAP4	6	121;122;205;230;293;294
GABPA	5	15;121;257;275;276
ELF5	6	1;3;11;138;331;332
ALX3	17	0;1;4;5;6;42;43;90;91;234;235;236;237;238;239;252;253
NR5A2	2	32;199
OTX2	4	11;12;183;184
GATA4	11	0;1;4;34;74;75;90;91;95;166;169
NR2F1	8	19;121;122;205;228;229;230;293
ZBTB7B	3	336;353;354
CRX	1	199
ATF7	4	15;33;115;271
DLX5	9	1;4;35;43;74;80;90;91;180
ETS1	15	15;121;122;142;143;144;145;146;147;149;201;267;268;325;326
SREBF1	6	1;218;219;221;223;224
STAT5A	18	0;20;21;23;36;37;38;39;124;133;134;135;203;259;312;313;342;343
TCF12	5	121;122;205;206;207
MAFK	8	1;11;12;219;220;221;222;224
RHOXF1	7	1;4;42;43;90;196;323
FOXO4	14	1;3;17;20;21;22;23;123;203;204;312;313;342;343
LBX2	13	0;1;5;42;43;57;89;90;91;125;285;300;301
ZNF384	9	4;56;57;88;285;307;309;333;334
SP8	4	15;32;103;152
ZNF350	3	32;103;152
RXRA	6	121;122;205;206;207;208
TFCP2	2	269;271
PPARG	6	15;121;122;205;206;207
HLTF	3	18;344;345
DLX4	11	4;5;18;42;56;57;90;93;193;314;316
FOXL1	16	0;4;6;9;18;41;57;72;87;88;89;90;91;92;94;95
POU2F1	10	0;1;3;11;13;14;53;54;55;67
NFKB1	8	15;32;103;152;159;277;278;279
NKX3-1	10	35;42;43;50;74;90;102;167;168;195
