clusters	gene_num	chrom	tads_num
0	13	chr2	10
1	17	chr8	15
2	4	chr5	1
3	14	chr9	12
4	23	chrX	15
5	10	chr22	5
6	10	chr9	8
7	5	chr1	2
8	10	chr21	7
9	21	chr6	17
10	5	chrX	6
11	16	chr2	14
12	2	chr4	2
13	16	chr7	18
14	19	chr4	17
15	17	chrX	11
16	23	chr4	18
17	17	chr4	13
18	92	chr5	63
19	2	chr9	2
20	82	chr14	61
21	9	chr18	11
22	11	chr20	5
23	19	chr21	21
24	5	chr10	7
25	16	chr12	15
26	27	chr14	25
27	5	chr18	5
28	32	chr20	18
29	2	chr21	2
30	26	chr2	24
31	4	chr7	4
32	16	chr7	10
33	16	chr7	10
34	25	chr5	23
35	24	chr5	18
36	2	chr18	3
37	3	chr20	4
38	17	chr2	14
39	2	chr7	2
40	14	chr4	9
41	22	chr3	13
42	22	chr7	19
43	12	chr7	14
44	17	chr5	25
45	11	chr5	11
46	25	chr4	19
47	32	chr10	25
48	12	chr12	14
49	3	chr13	3
50	20	chr5	13
51	18	chr3	13
52	16	chr3	15
53	13	chr8	6
54	22	chr8	23
55	11	chr8	13
56	13	chr14	4
57	31	chr14	22
58	12	chr5	14
59	11	chr5	10
60	19	chr1	15
61	2	chr10	1
62	2	chr1	2
63	13	chr20	7
64	14	chr6	14
65	12	chr9	12
66	38	chr9	38
67	105	chr15	76
68	24	chr15	23
69	2	chr18	3
70	71	chr20	50
71	4	chr2	5
72	46	chr11	41
73	71	chr7	41
74	15	chr4	9
75	25	chr4	23
76	29	chr12	13
77	10	chr13	8
78	10	chr3	11
79	20	chr6	23
80	14	chr6	9
81	21	chr4	18
82	19	chr4	19
83	67	chr1	69
84	54	chr1	34
85	17	chr4	18
86	20	chr4	18
87	12	chr20	10
88	20	chr20	18
89	18	chr5	15
90	11	chr15	7
91	16	chr15	16
92	11	chr4	8
93	17	chr4	11
94	13	chr7	8
95	17	chr7	16
96	63	chr1	66
97	35	chrX	22
98	11	chr10	8
99	6	chr6	7
100	11	chr10	8
101	18	chr9	15
102	18	chr9	12
103	111	chr19	73
104	48	chr3	43
105	17	chr4	19
106	5	chr4	5
107	22	chr3	17
108	15	chr3	8
109	42	chr1	35
110	13	chr13	11
111	8	chr6	12
112	6	chr13	8
113	41	chr1	37
114	26	chr19	25
115	24	chr19	24
116	22	chr11	19
117	2	chr18	4
118	7	chr11	9
119	8	chr17	1
120	8	chr18	11
121	98	chr17	80
122	11	chr22	6
123	28	chr8	38
124	21	chr8	24
125	24	chr5	18
126	2	chr20	3
127	6	chr3	7
128	16	chrX	10
129	8	chr3	7
130	15	chrX	8
131	6	chr15	2
132	2	chr2	3
133	2	chr15	2
134	2	chr18	2
135	3	chr7	6
136	4	chr14	7
137	2	chr15	2
138	36	chr1	26
139	21	chr15	15
140	35	chr15	29
141	3	chr2	2
142	14	chr1	4
143	5	chr8	3
144	171	chr9	90
145	219	chr11	134
146	26	chr1	18
147	53	chr20	33
148	7	chr2	6
149	24	chr8	7
150	13	chr5	10
151	21	chr5	11
152	18	chr15	8
153	11	chr11	12
154	3	chr17	3
155	3	chr18	6
156	33	chr10	29
157	2	chr13	2
158	4	chr18	4
159	20	chr19	21
160	29	chr14	18
161	75	chr2	71
162	5	chr21	5
163	11	chr2	13
164	10	chr5	7
165	8	chr5	8
166	19	chr9	19
167	10	chr10	4
168	25	chr3	31
169	28	chr3	25
170	28	chr17	20
171	2	chr18	2
172	10	chr11	7
173	24	chr17	17
174	22	chr10	21
175	17	chr3	10
176	4	chr12	1
177	16	chr6	15
178	20	chr6	23
179	20	chr9	22
180	12	chr9	11
181	8	chrX	6
182	18	chrX	14
183	41	chr1	31
184	22	chr1	19
185	25	chr1	24
186	9	chr1	9
187	22	chr6	14
188	7	chr10	7
189	26	chr6	25
190	13	chr14	9
191	4	chr7	3
192	11	chr14	10
193	15	chr6	8
194	12	chr10	13
195	7	chr10	8
196	29	chr12	20
197	10	chr12	6
198	9	chr5	7
199	26	chr19	14
200	27	chr11	17
201	38	chrX	14
202	16	chr12	14
203	20	chr8	17
204	23	chr8	23
205	12	chr14	8
206	19	chr17	19
207	9	chr14	4
208	2	chr17	2
209	22	chr5	13
210	13	chr5	9
211	2	chr21	3
212	66	chr2	46
213	6	chr18	6
214	63	chr2	60
215	5	chr10	2
216	6	chr3	5
217	7	chr13	7
218	9	chr12	5
219	16	chr7	6
220	6	chr1	7
221	8	chr7	5
222	6	chr1	9
223	4	chr3	7
224	12	chr7	9
225	23	chr17	18
226	22	chr17	28
227	23	chr12	20
228	13	chr16	3
229	29	chr21	18
230	31	chr16	10
231	18	chr10	14
232	3	chr17	1
233	18	chr10	14
234	16	chr12	8
235	5	chr6	2
236	5	chr9	4
237	19	chr12	12
238	5	chr20	2
239	4	chr4	1
240	18	chr12	14
241	2	chr11	3
242	8	chr12	6
243	5	chr18	5
244	5	chr4	5
245	17	chr8	15
246	19	chr8	16
247	25	chr1	23
248	15	chr3	13
249	16	chr1	11
250	19	chr3	24
251	31	chr19	22
252	21	chr12	19
253	14	chr18	11
254	14	chr1	8
255	21	chr1	11
256	22	chr17	11
257	15	chr17	14
258	17	chrX	11
259	19	chrX	11
260	78	chr16	49
261	56	chr16	34
262	9	chr13	7
263	13	chr3	8
264	10	chr3	7
265	30	chr17	17
266	39	chr17	33
267	13	chr1	16
268	92	chr22	64
269	27	chr19	16
270	2	chr20	1
271	11	chr19	8
272	4	chr13	2
273	9	chr3	9
274	9	chr3	6
275	40	chr17	40
276	31	chr17	9
277	4	chr15	4
278	6	chr19	5
279	9	chr19	10
280	13	chr12	11
281	3	chr18	3
282	12	chr12	10
283	17	chr19	12
284	13	chr5	9
285	9	chr5	11
286	14	chr1	7
287	24	chr1	18
288	15	chr11	13
289	2	chr18	3
290	12	chr11	7
291	14	chr19	7
292	22	chr19	13
