Source	Target	Weight	EdgeType	SourceType	TargetType
RUNX1	MED30	0.000000	D	RUNX1	chr8:118530000
RUNX1	SAMD12	0.000000	D	RUNX1	chr8:119630000
RUNX1	TNFRSF11B	0.000000	D	RUNX1	chr8:119960000
RUNX1	DERL1	0.000000	D	RUNX1	chr8:124050000
RUNX1	TBC1D31	0.000000	D	RUNX1	chr8:124080000
RUNX1	C8orf76	0.000000	D	RUNX1	chr8:124250000
RUNX1	ZHX1	0.000000	D	RUNX1	chr8:124280000
RUNX1	ATAD2	0.000000	D	RUNX1	chr8:124400000
RUNX1	WDYHV1	0.000000	D	RUNX1	chr8:124420000
RUNX1	FBXO32	0.000000	D	RUNX1	chr8:124550000
RUNX1	FAM91A1	0.000000	D	RUNX1	chr8:124780000
RUNX1	TRMT12	0.000000	D	RUNX1	chr8:125460000
RUNX1	RNF139	0.000000	D	RUNX1	chr8:125480000
RUNX1	PHF20L1	0.000000	D	RUNX1	chr8:133780000
RUNX1	NDRG1	0.000000	D	RUNX1	chr8:134300000
RUNX1	LYPLA1	0.000000	D	RUNX1	chr8:55010000
RUNX1	ASPH	0.000000	D	RUNX1	chr8:62620000
RUNX1	GEM	0.000000	D	RUNX1	chr8:95270000
RUNX1	INTS8	0.000000	D	RUNX1	chr8:95830000
RUNX1	NDUFAF6	0.000000	D	RUNX1	chr8:96030000
MEIS1	SAMD12	0.000000	D	MEIS1	chr8:119630000
MEIS1	TNFRSF11B	0.000000	D	MEIS1	chr8:119960000
MEIS1	TAF2	0.000000	D	MEIS1	chr8:120840000
MEIS1	DERL1	0.000000	D	MEIS1	chr8:124050000
MEIS1	TBC1D31	0.000000	D	MEIS1	chr8:124080000
MEIS1	C8orf76	0.000000	D	MEIS1	chr8:124250000
MEIS1	ZHX1	0.000000	D	MEIS1	chr8:124280000
MEIS1	ATAD2	0.000000	D	MEIS1	chr8:124400000
MEIS1	WDYHV1	0.000000	D	MEIS1	chr8:124420000
MEIS1	FBXO32	0.000000	D	MEIS1	chr8:124550000
MEIS1	FAM91A1	0.000000	D	MEIS1	chr8:124780000
MEIS1	PHF20L1	0.000000	D	MEIS1	chr8:133780000
MEIS1	NDRG1	0.000000	D	MEIS1	chr8:134300000
MEIS1	LYPLA1	0.000000	D	MEIS1	chr8:55010000
MEIS1	NSMAF	0.000000	D	MEIS1	chr8:59570000
MEIS1	ASPH	0.000000	D	MEIS1	chr8:62620000
MEIS1	C8orf59	0.000000	D	MEIS1	chr8:86130000
MEIS1	GEM	0.000000	D	MEIS1	chr8:95270000
MEIS1	INTS8	0.000000	D	MEIS1	chr8:95830000
MEIS1	NDUFAF6	0.000000	D	MEIS1	chr8:96030000
NFE2L1	MED30	0.000000	D	NFE2L1	chr8:118530000
NFE2L1	DERL1	0.000000	D	NFE2L1	chr8:124050000
NFE2L1	TBC1D31	0.000000	D	NFE2L1	chr8:124080000
NFE2L1	C8orf76	0.000000	D	NFE2L1	chr8:124250000
NFE2L1	ZHX1	0.000000	D	NFE2L1	chr8:124280000
NFE2L1	ATAD2	0.000000	D	NFE2L1	chr8:124400000
NFE2L1	WDYHV1	0.000000	D	NFE2L1	chr8:124420000
NFE2L1	FBXO32	0.000000	D	NFE2L1	chr8:124550000
NFE2L1	FAM91A1	0.000000	D	NFE2L1	chr8:124780000
