chrom	txStart	txEnd	strand	TF	Bin_1kb	Bin_5kb	Bin_10kb	Bin_25kb	Bin_50kb	Bin_100kb	Bin_250kb	Bin_500kb	Bin_1000kb
chr12	9220303	9268558	-	A2M	chr12:9268000	chr12:9265000	chr12:9260000	chr12:9250000	chr12:9250000	chr12:9200000	chr12:9250000	chr12:9000000	chr12:9000000
chr12	53701239	53715412	-	AAAS	chr12:53715000	chr12:53715000	chr12:53710000	chr12:53700000	chr12:53700000	chr12:53700000	chr12:53500000	chr12:53500000	chr12:53000000
chr12	125549912	125627879	+	AACS	chr12:125549000	chr12:125545000	chr12:125540000	chr12:125525000	chr12:125500000	chr12:125500000	chr12:125500000	chr12:125500000	chr12:125000000
chr9	99403532	99417599	-	AAED1	chr9:99417000	chr9:99415000	chr9:99410000	chr9:99400000	chr9:99400000	chr9:99400000	chr9:99250000	chr9:99000000	chr9:99000000
chr15	67493012	67547536	-	AAGAB	chr15:67547000	chr15:67545000	chr15:67540000	chr15:67525000	chr15:67500000	chr15:67500000	chr15:67500000	chr15:67500000	chr15:67000000
chr2	69685126	69870977	-	AAK1	chr2:69870000	chr2:69870000	chr2:69870000	chr2:69850000	chr2:69850000	chr2:69800000	chr2:69750000	chr2:69500000	chr2:69000000
chr11	77532159	77611831	+	AAMDC	chr11:77532000	chr11:77530000	chr11:77530000	chr11:77525000	chr11:77500000	chr11:77500000	chr11:77500000	chr11:77500000	chr11:77000000
chr2	219128851	219134932	-	AAMP	chr2:219134000	chr2:219130000	chr2:219130000	chr2:219125000	chr2:219100000	chr2:219100000	chr2:219000000	chr2:219000000	chr2:219000000
chr20	34824338	34844863	+	AAR2	chr20:34824000	chr20:34820000	chr20:34820000	chr20:34800000	chr20:34800000	chr20:34800000	chr20:34750000	chr20:34500000	chr20:34000000
chr16	70286296	70323412	-	AARS	chr16:70323000	chr16:70320000	chr16:70320000	chr16:70300000	chr16:70300000	chr16:70300000	chr16:70250000	chr16:70000000	chr16:70000000
chr6	44266462	44281063	-	AARS2	chr6:44281000	chr6:44280000	chr6:44280000	chr6:44275000	chr6:44250000	chr6:44200000	chr6:44250000	chr6:44000000	chr6:44000000
chr17	41102542	41116515	-	AARSD1	chr17:41116000	chr17:41115000	chr17:41110000	chr17:41100000	chr17:41100000	chr17:41100000	chr17:41000000	chr17:41000000	chr17:41000000
chr4	57204450	57253674	-	AASDH	chr4:57253000	chr4:57250000	chr4:57250000	chr4:57250000	chr4:57250000	chr4:57200000	chr4:57250000	chr4:57000000	chr4:57000000
chr11	105948291	105969419	+	AASDHPPT	chr11:105948000	chr11:105945000	chr11:105940000	chr11:105925000	chr11:105900000	chr11:105900000	chr11:105750000	chr11:105500000	chr11:105000000
chr7	121713597	121784344	-	AASS	chr7:121784000	chr7:121780000	chr7:121780000	chr7:121775000	chr7:121750000	chr7:121700000	chr7:121750000	chr7:121500000	chr7:121000000
chr17	35306174	35414171	+	AATF	chr17:35306000	chr17:35305000	chr17:35300000	chr17:35300000	chr17:35300000	chr17:35300000	chr17:35250000	chr17:35000000	chr17:35000000
chr16	8768443	8878432	+	ABAT	chr16:8768000	chr16:8765000	chr16:8760000	chr16:8750000	chr16:8750000	chr16:8700000	chr16:8750000	chr16:8500000	chr16:8000000
chr2	215796265	216003151	-	ABCA12	chr2:216003000	chr2:216000000	chr2:216000000	chr2:216000000	chr2:216000000	chr2:216000000	chr2:216000000	chr2:216000000	chr2:216000000
chr9	139901685	139923374	-	ABCA2	chr9:139923000	chr9:139920000	chr9:139920000	chr9:139900000	chr9:139900000	chr9:139900000	chr9:139750000	chr9:139500000	chr9:139000000
chr16	2325878	2390747	-	ABCA3	chr16:2390000	chr16:2390000	chr16:2390000	chr16:2375000	chr16:2350000	chr16:2300000	chr16:2250000	chr16:2000000	chr16:2000000
chr17	67240575	67323323	-	ABCA5	chr17:67323000	chr17:67320000	chr17:67320000	chr17:67300000	chr17:67300000	chr17:67300000	chr17:67250000	chr17:67000000	chr17:67000000
chr19	1040101	1065570	+	ABCA7	chr19:1040000	chr19:1040000	chr19:1040000	chr19:1025000	chr19:1000000	chr19:1000000	chr19:1000000	chr19:1000000	chr19:1000000
chr1	229652328	229694442	-	ABCB10	chr1:229694000	chr1:229690000	chr1:229690000	chr1:229675000	chr1:229650000	chr1:229600000	chr1:229500000	chr1:229500000	chr1:229000000
chr7	87031360	87105019	-	ABCB4	chr7:87105000	chr7:87105000	chr7:87100000	chr7:87100000	chr7:87100000	chr7:87100000	chr7:87000000	chr7:87000000	chr7:87000000
chr2	220074487	220083712	-	ABCB6	chr2:220083000	chr2:220080000	chr2:220080000	chr2:220075000	chr2:220050000	chr2:220000000	chr2:220000000	chr2:220000000	chr2:220000000
chrX	74273006	74376175	-	ABCB7	chrX:74376000	chrX:74375000	chrX:74370000	chrX:74375000	chrX:74350000	chrX:74300000	chrX:74250000	chrX:74000000	chrX:74000000
chr7	150725508	150744869	+	ABCB8	chr7:150725000	chr7:150725000	chr7:150720000	chr7:150725000	chr7:150700000	chr7:150700000	chr7:150500000	chr7:150500000	chr7:150000000
chr12	123405497	123451056	-	ABCB9	chr12:123451000	chr12:123450000	chr12:123450000	chr12:123450000	chr12:123450000	chr12:123400000	chr12:123250000	chr12:123000000	chr12:123000000
chr16	16043433	16236930	+	ABCC1	chr16:16043000	chr16:16040000	chr16:16040000	chr16:16025000	chr16:16000000	chr16:16000000	chr16:16000000	chr16:16000000	chr16:16000000
chr6	43395291	43418163	+	ABCC10	chr6:43395000	chr6:43395000	chr6:43390000	chr6:43375000	chr6:43350000	chr6:43300000	chr6:43250000	chr6:43000000	chr6:43000000
chr10	101542354	101611949	+	ABCC2	chr10:101542000	chr10:101540000	chr10:101540000	chr10:101525000	chr10:101500000	chr10:101500000	chr10:101500000	chr10:101500000	chr10:101000000
chr17	48712217	48769063	+	ABCC3	chr17:48712000	chr17:48710000	chr17:48710000	chr17:48700000	chr17:48700000	chr17:48700000	chr17:48500000	chr17:48500000	chr17:48000000
chr13	95672082	95953700	-	ABCC4	chr13:95953000	chr13:95950000	chr13:95950000	chr13:95950000	chr13:95950000	chr13:95900000	chr13:95750000	chr13:95500000	chr13:95000000
chr3	183637723	183735748	-	ABCC5	chr3:183735000	chr3:183735000	chr3:183730000	chr3:183725000	chr3:183700000	chr3:183700000	chr3:183500000	chr3:183500000	chr3:183000000
chr11	17414431	17498392	-	ABCC8	chr11:17498000	chr11:17495000	chr11:17490000	chr11:17475000	chr11:17450000	chr11:17400000	chr11:17250000	chr11:17000000	chr11:17000000
chrX	152990322	153010216	+	ABCD1	chrX:152990000	chrX:152990000	chrX:152990000	chrX:152975000	chrX:152950000	chrX:152900000	chrX:152750000	chrX:152500000	chrX:152000000
chr12	39945021	40013843	-	ABCD2	chr12:40013000	chr12:40010000	chr12:40010000	chr12:40000000	chr12:40000000	chr12:40000000	chr12:40000000	chr12:40000000	chr12:40000000
chr1	94883932	94984219	+	ABCD3	chr1:94883000	chr1:94880000	chr1:94880000	chr1:94875000	chr1:94850000	chr1:94800000	chr1:94750000	chr1:94500000	chr1:94000000
chr14	74751979	74769767	-	ABCD4	chr14:74769000	chr14:74765000	chr14:74760000	chr14:74750000	chr14:74750000	chr14:74700000	chr14:74750000	chr14:74500000	chr14:74000000
