Source	Target	Weight	EdgeType	SourceType	TargetType
IRF7	DDX60	0.000000	D	IRF7	chr4:169230000
IRF7	DDX60L	0.000000	D	IRF7	chr4:169400000
IRF7	CYP4V2	0.000000	D	IRF7	chr4:187110000
IRF7	CCSER1	0.000000	D	IRF7	chr4:91040000
SOX4	ARFIP1;TIGD4	0.000000	D	SOX4	chr4:153700000
SOX4	ZCCHC4	0.000000	D	SOX4	chr4:25310000
SPIC	CLNK	0.000000	D	SPIC	chr4:10680000
SPIC	USP38	0.000000	D	SPIC	chr4:144100000
SPIC	ARFIP1;TIGD4	0.000000	D	SPIC	chr4:153700000
SPIC	MND1	0.000000	D	SPIC	chr4:154260000
SPIC	KIAA0922	0.000000	D	SPIC	chr4:154380000
SPIC	CPE	0.000000	D	SPIC	chr4:166300000
SPIC	CBR4	0.000000	D	SPIC	chr4:169930000
SPIC	SPATA18	0.000000	D	SPIC	chr4:52910000
SPIC	BLOC1S4;MRFAP1L1	0.000000	D	SPIC	chr4:6710000
SPIC	KIAA0232	0.000000	D	SPIC	chr4:6780000
SPIC	TBC1D14	0.000000	D	SPIC	chr4:6910000
SPIC	CCDC96;TADA2B	0.000000	D	SPIC	chr4:7040000
SPIC	GRPEL1	0.000000	D	SPIC	chr4:7060000
SPIC	G3BP2	0.000000	D	SPIC	chr4:76590000
SPIC	SNCA	0.000000	D	SPIC	chr4:90750000
SPIC	CCSER1	0.000000	D	SPIC	chr4:91040000
IRF1	DDX60	0.000000	D	IRF1	chr4:169230000
IRF1	DDX60L	0.000000	D	IRF1	chr4:169400000
IRF1	CYP4V2	0.000000	D	IRF1	chr4:187110000
IRF1	BLOC1S4;MRFAP1L1	0.000000	D	IRF1	chr4:6710000
SPI1	CLNK	0.000000	D	SPI1	chr4:10680000
SPI1	RPL34	0.000000	D	SPI1	chr4:109540000
SPI1	RNF150	0.000000	D	SPI1	chr4:142050000
SPI1	USP38	0.000000	D	SPI1	chr4:144100000
SPI1	MND1	0.000000	D	SPI1	chr4:154260000
SPI1	KIAA0922	0.000000	D	SPI1	chr4:154380000
SPI1	CPE	0.000000	D	SPI1	chr4:166300000
SPI1	DDX60	0.000000	D	SPI1	chr4:169230000
SPI1	DDX60L	0.000000	D	SPI1	chr4:169400000
SPI1	CBR4	0.000000	D	SPI1	chr4:169930000
SPI1	CYP4V2	0.000000	D	SPI1	chr4:187110000
SPI1	SPATA18	0.000000	D	SPI1	chr4:52910000
SPI1	BLOC1S4;MRFAP1L1	0.000000	D	SPI1	chr4:6710000
SPI1	KIAA0232	0.000000	D	SPI1	chr4:6780000
SPI1	TBC1D14	0.000000	D	SPI1	chr4:6910000
SPI1	CCDC96;TADA2B	0.000000	D	SPI1	chr4:7040000
SPI1	GRPEL1	0.000000	D	SPI1	chr4:7060000
SPI1	G3BP2	0.000000	D	SPI1	chr4:76590000
SPI1	SNCA	0.000000	D	SPI1	chr4:90750000
SPI1	CCSER1	0.000000	D	SPI1	chr4:91040000
SPIB	CLNK	0.000000	D	SPIB	chr4:10680000
SPIB	RNF150	0.000000	D	SPIB	chr4:142050000
SPIB	USP38	0.000000	D	SPIB	chr4:144100000
SPIB	MND1	0.000000	D	SPIB	chr4:154260000
SPIB	KIAA0922	0.000000	D	SPIB	chr4:154380000
