clusters	gene_num	chrom	loop_num
0	13	chr2	21
1	17	chr8	32
2	4	chr5	3
3	14	chr9	29
4	23	chrX	30
5	10	chr22	3
6	10	chr9	19
7	5	chr1	32
8	10	chr21	5
9	21	chr6	14
10	5	chrX	13
11	16	chr2	27
12	2	chr4	3
13	16	chr7	20
14	19	chr4	22
15	17	chrX	21
16	23	chr4	22
17	17	chr4	22
18	92	chr5	66
19	2	chr9	1
20	82	chr14	68
21	9	chr18	12
22	11	chr20	3
23	19	chr21	23
24	5	chr10	5
25	16	chr12	14
26	27	chr14	31
27	5	chr18	9
28	32	chr20	28
29	2	chr21	4
30	26	chr2	23
31	4	chr7	15
32	16	chr7	13
33	16	chr7	13
34	25	chr5	24
35	24	chr5	31
36	2	chr18	4
37	3	chr20	5
38	17	chr2	15
39	2	chr7	2
40	14	chr4	9
41	22	chr3	17
42	22	chr7	37
43	12	chr7	25
44	17	chr5	34
45	11	chr5	14
46	25	chr4	22
47	32	chr10	35
48	12	chr12	19
49	3	chr13	3
50	20	chr5	29
51	18	chr3	23
52	16	chr3	18
53	13	chr8	8
54	22	chr8	38
55	11	chr8	19
56	13	chr14	7
57	31	chr14	24
58	12	chr5	12
59	11	chr5	10
60	19	chr1	43
61	2	chr10	4
62	2	chr1	29
63	13	chr20	3
64	14	chr6	6
65	12	chr9	31
66	38	chr9	55
67	105	chr15	66
68	24	chr15	20
69	2	chr18	0
70	71	chr20	52
71	4	chr2	2
72	46	chr11	49
73	71	chr7	49
74	15	chr4	17
75	25	chr4	34
76	29	chr12	27
77	10	chr13	8
78	10	chr3	22
79	20	chr6	23
80	14	chr6	12
81	21	chr4	32
82	19	chr4	22
83	67	chr1	99
84	54	chr1	68
85	17	chr4	22
86	20	chr4	26
87	12	chr20	12
88	20	chr20	29
89	18	chr5	23
90	11	chr15	5
91	16	chr15	15
92	11	chr4	12
93	17	chr4	10
94	13	chr7	14
95	17	chr7	21
96	63	chr1	91
97	35	chrX	33
98	11	chr10	10
99	6	chr6	10
100	11	chr10	7
101	18	chr9	31
102	18	chr9	11
103	111	chr19	71
104	48	chr3	64
105	17	chr4	24
106	5	chr4	7
107	22	chr3	26
108	15	chr3	17
109	42	chr1	44
110	13	chr13	12
111	8	chr6	19
112	6	chr13	9
113	41	chr1	59
114	26	chr19	18
115	24	chr19	18
116	22	chr11	32
117	2	chr18	7
118	7	chr11	13
119	8	chr17	1
120	8	chr18	10
121	98	chr17	67
122	11	chr22	4
123	28	chr8	41
124	21	chr8	34
125	24	chr5	26
126	2	chr20	2
127	6	chr3	17
128	16	chrX	21
129	8	chr3	11
130	15	chrX	15
131	6	chr15	0
132	2	chr2	3
133	2	chr15	1
134	2	chr18	5
135	3	chr7	8
136	4	chr14	6
137	2	chr15	0
138	36	chr1	58
139	21	chr15	20
140	35	chr15	21
141	3	chr2	3
142	14	chr1	28
143	5	chr8	1
144	171	chr9	81
145	219	chr11	132
146	26	chr1	55
147	53	chr20	32
148	7	chr2	8
149	24	chr8	4
150	13	chr5	10
151	21	chr5	18
152	18	chr15	3
153	11	chr11	23
154	3	chr17	4
155	3	chr18	4
156	33	chr10	32
157	2	chr13	3
158	4	chr18	5
159	20	chr19	9
160	29	chr14	26
161	75	chr2	101
162	5	chr21	7
163	11	chr2	20
164	10	chr5	10
165	8	chr5	11
166	19	chr9	28
167	10	chr10	8
168	25	chr3	35
169	28	chr3	25
170	28	chr17	22
171	2	chr18	5
172	10	chr11	13
173	24	chr17	17
174	22	chr10	19
175	17	chr3	24
176	4	chr12	6
177	16	chr6	26
178	20	chr6	39
179	20	chr9	45
180	12	chr9	24
181	8	chrX	4
182	18	chrX	23
183	41	chr1	65
184	22	chr1	44
185	25	chr1	61
186	9	chr1	25
187	22	chr6	22
188	7	chr10	9
189	26	chr6	32
190	13	chr14	13
191	4	chr7	6
192	11	chr14	13
193	15	chr6	14
194	12	chr10	16
195	7	chr10	4
196	29	chr12	29
197	10	chr12	6
198	9	chr5	3
199	26	chr19	8
200	27	chr11	13
201	38	chrX	21
202	16	chr12	16
203	20	chr8	20
204	23	chr8	28
205	12	chr14	5
206	19	chr17	17
207	9	chr14	2
208	2	chr17	0
209	22	chr5	17
210	13	chr5	15
211	2	chr21	5
212	66	chr2	53
213	6	chr18	4
214	63	chr2	68
215	5	chr10	11
216	6	chr3	9
217	7	chr13	8
218	9	chr12	2
219	16	chr7	5
220	6	chr1	35
221	8	chr7	8
222	6	chr1	29
223	4	chr3	9
224	12	chr7	12
225	23	chr17	14
226	22	chr17	23
227	23	chr12	21
228	13	chr16	5
229	29	chr21	16
230	31	chr16	8
231	18	chr10	15
232	3	chr17	3
233	18	chr10	26
234	16	chr12	12
235	5	chr6	7
236	5	chr9	4
237	19	chr12	21
238	5	chr20	5
239	4	chr4	5
240	18	chr12	25
241	2	chr11	4
242	8	chr12	12
243	5	chr18	3
