Source	Target	Weight	EdgeType	SourceType	TargetType
IRF8	BTLA	0.000000	D	IRF8	chr3:112210000
IRF8	TSC22D2	0.000000	D	IRF8	chr3:150120000
IRF8	SELT	0.000000	D	IRF8	chr3:150320000
IRF8	SIAH2	0.000000	D	IRF8	chr3:150480000
IRF8	FNDC3B	0.000000	D	IRF8	chr3:171750000
IRF8	ETV5	0.000000	D	IRF8	chr3:185820000
IRF8	DGKG	0.000000	D	IRF8	chr3:186080000
IRF8	DNAJB11;TBCCD1	0.000000	D	IRF8	chr3:186280000
IRF8	EIF4A2	0.000000	D	IRF8	chr3:186500000
IRF8	RFC4	0.000000	D	IRF8	chr3:186520000
IRF8	ST6GAL1	0.000000	D	IRF8	chr3:186640000
IRF8	RPL35A	0.000000	D	IRF8	chr3:197670000
IRF8	IQCG;LMLN	0.000000	D	IRF8	chr3:197680000
IRF8	EOMES	0.000000	D	IRF8	chr3:27760000
IRF8	C3orf67	0.000000	D	IRF8	chr3:59030000
NKX3-1	FNDC3B	0.000000	D	NKX3-1	chr3:171750000
NKX3-1	ETV5	0.000000	D	NKX3-1	chr3:185820000
NKX3-1	EIF4A2	0.000000	D	NKX3-1	chr3:186500000
NKX3-1	RFC4	0.000000	D	NKX3-1	chr3:186520000
NKX3-1	ST6GAL1	0.000000	D	NKX3-1	chr3:186640000
IRF9	BTLA	0.000000	D	IRF9	chr3:112210000
IRF9	POLQ	0.000000	D	IRF9	chr3:121260000
IRF9	TSC22D2	0.000000	D	IRF9	chr3:150120000
IRF9	SELT	0.000000	D	IRF9	chr3:150320000
IRF9	SIAH2	0.000000	D	IRF9	chr3:150480000
IRF9	FNDC3B	0.000000	D	IRF9	chr3:171750000
IRF9	ETV5	0.000000	D	IRF9	chr3:185820000
IRF9	DGKG	0.000000	D	IRF9	chr3:186080000
IRF9	DNAJB11;TBCCD1	0.000000	D	IRF9	chr3:186280000
IRF9	EIF4A2	0.000000	D	IRF9	chr3:186500000
IRF9	RFC4	0.000000	D	IRF9	chr3:186520000
IRF9	ST6GAL1	0.000000	D	IRF9	chr3:186640000
IRF9	RPL35A	0.000000	D	IRF9	chr3:197670000
IRF9	IQCG;LMLN	0.000000	D	IRF9	chr3:197680000
IRF9	EOMES	0.000000	D	IRF9	chr3:27760000
IRF9	C3orf67	0.000000	D	IRF9	chr3:59030000
IRF3	BTLA	0.000000	D	IRF3	chr3:112210000
IRF3	POLQ	0.000000	D	IRF3	chr3:121260000
IRF3	TSC22D2	0.000000	D	IRF3	chr3:150120000
IRF3	SELT	0.000000	D	IRF3	chr3:150320000
IRF3	SIAH2	0.000000	D	IRF3	chr3:150480000
IRF3	FNDC3B	0.000000	D	IRF3	chr3:171750000
IRF3	ETV5	0.000000	D	IRF3	chr3:185820000
IRF3	DGKG	0.000000	D	IRF3	chr3:186080000
IRF3	DNAJB11;TBCCD1	0.000000	D	IRF3	chr3:186280000
IRF3	EIF4A2	0.000000	D	IRF3	chr3:186500000
IRF3	RFC4	0.000000	D	IRF3	chr3:186520000
IRF3	ST6GAL1	0.000000	D	IRF3	chr3:186640000
IRF3	RPL35A	0.000000	D	IRF3	chr3:197670000
IRF3	IQCG;LMLN	0.000000	D	IRF3	chr3:197680000
IRF3	C3orf67	0.000000	D	IRF3	chr3:59030000
LEF1	BTLA	0.000000	D	LEF1	chr3:112210000
LEF1	POLQ	0.000000	D	LEF1	chr3:121260000
LEF1	KALRN	0.000000	D	LEF1	chr3:123810000
LEF1	UMPS	0.000000	D	LEF1	chr3:124440000
LEF1	MUC13	0.000000	D	LEF1	chr3:124650000
LEF1	TSC22D2	0.000000	D	LEF1	chr3:150120000
LEF1	SELT	0.000000	D	LEF1	chr3:150320000
LEF1	SIAH2	0.000000	D	LEF1	chr3:150480000
LEF1	MYNN	0.000000	D	LEF1	chr3:169490000
LEF1	FNDC3B	0.000000	D	LEF1	chr3:171750000
LEF1	TBC1D5	0.000000	D	LEF1	chr3:17780000
LEF1	ETV5	0.000000	D	LEF1	chr3:185820000
LEF1	DGKG	0.000000	D	LEF1	chr3:186080000
LEF1	DNAJB11;TBCCD1	0.000000	D	LEF1	chr3:186280000
LEF1	EIF4A2	0.000000	D	LEF1	chr3:186500000
LEF1	RFC4	0.000000	D	LEF1	chr3:186520000
LEF1	ST6GAL1	0.000000	D	LEF1	chr3:186640000
LEF1	RPL35A	0.000000	D	LEF1	chr3:197670000
LEF1	IQCG;LMLN	0.000000	D	LEF1	chr3:197680000
LEF1	EOMES	0.000000	D	LEF1	chr3:27760000
LEF1	CCDC66	0.000000	D	LEF1	chr3:56590000
LEF1	FAM208A	0.000000	D	LEF1	chr3:56710000
LEF1	ARHGEF3	0.000000	D	LEF1	chr3:57110000
LEF1	APPL1	0.000000	D	LEF1	chr3:57260000
LEF1	C3orf67	0.000000	D	LEF1	chr3:59030000
SPDEF	TBC1D5	0.000000	D	SPDEF	chr3:17780000
SPDEF	DNAJB11;TBCCD1	0.000000	D	SPDEF	chr3:186280000
SPDEF	EIF4A2	0.000000	D	SPDEF	chr3:186500000
SPDEF	RFC4	0.000000	D	SPDEF	chr3:186520000
SPDEF	ST6GAL1	0.000000	D	SPDEF	chr3:186640000
TCF7L2	BTLA	0.000000	D	TCF7L2	chr3:112210000
TCF7L2	POLQ	0.000000	D	TCF7L2	chr3:121260000
TCF7L2	KALRN	0.000000	D	TCF7L2	chr3:123810000
TCF7L2	SELT	0.000000	D	TCF7L2	chr3:150320000
TCF7L2	MYNN	0.000000	D	TCF7L2	chr3:169490000
TCF7L2	FNDC3B	0.000000	D	TCF7L2	chr3:171750000
TCF7L2	TBC1D5	0.000000	D	TCF7L2	chr3:17780000
TCF7L2	DNAJB11;TBCCD1	0.000000	D	TCF7L2	chr3:186280000
TCF7L2	EIF4A2	0.000000	D	TCF7L2	chr3:186500000
TCF7L2	RFC4	0.000000	D	TCF7L2	chr3:186520000
TCF7L2	ST6GAL1	0.000000	D	TCF7L2	chr3:186640000
TCF7L2	RPL35A	0.000000	D	TCF7L2	chr3:197670000
TCF7L2	IQCG;LMLN	0.000000	D	TCF7L2	chr3:197680000
TCF7L2	EOMES	0.000000	D	TCF7L2	chr3:27760000
TCF7L2	CCDC66	0.000000	D	TCF7L2	chr3:56590000
TCF7L2	FAM208A	0.000000	D	TCF7L2	chr3:56710000
TCF7L2	ARHGEF3	0.000000	D	TCF7L2	chr3:57110000
TCF7L2	APPL1	0.000000	D	TCF7L2	chr3:57260000
TCF7L2	C3orf67	0.000000	D	TCF7L2	chr3:59030000
DMRTA2	POLQ	0.000000	D	DMRTA2	chr3:121260000
DMRTA2	TSC22D2	0.000000	D	DMRTA2	chr3:150120000
DMRTA2	SELT	0.000000	D	DMRTA2	chr3:150320000
DMRTA2	SIAH2	0.000000	D	DMRTA2	chr3:150480000
DMRTA2	MYNN	0.000000	D	DMRTA2	chr3:169490000
DMRTA2	FNDC3B	0.000000	D	DMRTA2	chr3:171750000
DMRTA2	DNAJB11;TBCCD1	0.000000	D	DMRTA2	chr3:186280000
DMRTA2	EIF4A2	0.000000	D	DMRTA2	chr3:186500000
DMRTA2	RFC4	0.000000	D	DMRTA2	chr3:186520000
DMRTA2	ST6GAL1	0.000000	D	DMRTA2	chr3:186640000
TCF7	BTLA	0.000000	D	TCF7	chr3:112210000
TCF7	POLQ	0.000000	D	TCF7	chr3:121260000
TCF7	KALRN	0.000000	D	TCF7	chr3:123810000
TCF7	UMPS	0.000000	D	TCF7	chr3:124440000
TCF7	MUC13	0.000000	D	TCF7	chr3:124650000
TCF7	TSC22D2	0.000000	D	TCF7	chr3:150120000
TCF7	SELT	0.000000	D	TCF7	chr3:150320000
TCF7	SIAH2	0.000000	D	TCF7	chr3:150480000
TCF7	MYNN	0.000000	D	TCF7	chr3:169490000
TCF7	FNDC3B	0.000000	D	TCF7	chr3:171750000
TCF7	TBC1D5	0.000000	D	TCF7	chr3:17780000
TCF7	ETV5	0.000000	D	TCF7	chr3:185820000
TCF7	DGKG	0.000000	D	TCF7	chr3:186080000
TCF7	DNAJB11;TBCCD1	0.000000	D	TCF7	chr3:186280000
TCF7	EIF4A2	0.000000	D	TCF7	chr3:186500000
TCF7	RFC4	0.000000	D	TCF7	chr3:186520000
TCF7	ST6GAL1	0.000000	D	TCF7	chr3:186640000
TCF7	RPL35A	0.000000	D	TCF7	chr3:197670000
TCF7	IQCG;LMLN	0.000000	D	TCF7	chr3:197680000
